URN,Pupil Premium Incentive,Sparsity Incentive
100000,0,0
100005,0,0
100006,1,0
100006,1,0
100007,1,0
100008,1,0
100009,1,0
100010,1,0
100011,0,0
100013,1,0
100014,1,0
100015,1,0
100018,1,0
100019,0,0
100020,0,0
100021,1,0
100022,1,0
100023,1,0
100025,0,0
100026,0,0
100027,0,0
100028,0,0
100029,1,0
100030,0,0
100031,0,0
100032,1,0
100033,0,0
100034,0,0
100035,0,0
100036,1,0
100039,1,0
100040,0,0
109765,0,0
110408,0,0
100041,0,0
113033,1,0
116622,1,0
100042,1,0
116624,1,0
100043,1,0
116991,0,1
119876,1,0
100044,1,0
119877,0,0
121771,0,1
100045,1,0
121772,1,1
100046,0,0
135449,0,0
100047,1,0
136156,1,0
137986,0,0
100048,1,0
100049,1,0
100050,0,0
100052,1,0
100053,0,0
100051,1,0
100054,0,0
100055,1,0
100056,1,0
100059,1,0
100060,0,0
100091,1,0
100092,1,0
100094,0,0
100096,1,0
100097,0,0
100098,0,0
100099,0,0
100102,0,0
100103,1,0
100113,0,0
100114,1,0
100115,0,0
100120,1,0
100125,0,0
100126,0,0
100127,0,0
100129,1,0
100131,0,0
100134,0,0
100136,0,0
100137,0,0
100140,0,0
100141,0,0
100142,0,0
100146,0,0
100149,0,0
100150,0,0
100152,1,0
100155,0,0
100158,0,0
100159,1,0
100162,0,0
100163,0,0
100164,0,0
100165,1,0
100166,0,0
100167,0,0
100168,0,0
100169,1,0
100170,0,0
100171,1,0
100173,0,0
100174,1,0
100175,0,0
100176,0,0
100177,0,0
100178,0,0
100179,0,0
100180,0,0
100181,0,0
100182,0,0
100183,1,0
100190,0,0
100193,0,0
100204,1,0
100212,0,0
100213,0,0
100218,1,0
100221,0,0
100223,1,0
100224,1,0
100225,1,0
100229,0,0
100230,0,0
100231,0,0
100232,1,0
100234,1,0
100235,0,0
100236,1,0
100239,0,0
100240,1,0
100241,0,0
100242,1,0
100243,1,0
100244,1,0
100245,1,0
100248,1,0
100250,1,0
100251,1,0
100252,0,0
100253,0,0
100254,1,0
100255,1,0
100256,1,0
100257,0,0
100258,0,0
100259,0,0
100260,1,0
100261,1,0
100263,1,0
100264,0,0
100266,1,0
100267,1,0
100268,1,0
100269,1,0
100270,1,0
100271,1,0
100274,1,0
100275,0,0
100277,1,0
100279,0,0
100282,1,0
100284,1,0
100285,1,0
100307,1,0
100311,1,0
100312,1,0
100315,0,0
100316,0,0
100317,0,0
100318,0,0
100321,1,0
100322,1,0
100324,0,0
100326,1,0
100328,1,0
100331,0,0
100334,1,0
100335,1,0
100338,1,0
100340,0,0
100341,1,0
100344,0,0
100345,0,0
100346,0,0
100347,0,0
100349,0,0
100350,1,0
100351,0,0
100352,0,0
100353,0,0
100354,0,0
100355,1,0
100357,0,0
100379,1,0
100381,1,0
100382,1,0
100384,0,0
100385,0,0
100386,0,0
100388,1,0
100391,1,0
100397,0,0
100401,1,0
100402,0,0
100403,1,0
100405,0,0
100406,0,0
100407,0,0
100408,1,0
100411,1,0
100415,1,0
100418,1,0
100422,1,0
100425,1,0
100426,1,0
100428,1,0
100429,0,0
100430,1,0
100431,1,0
100432,1,0
100434,1,0
100437,1,0
100438,1,0
100439,1,0
100440,0,0
100441,0,0
100442,0,0
100443,1,0
100444,1,0
100446,1,0
100447,1,0
100448,1,0
100449,0,0
100450,1,0
100451,1,0
100453,1,0
100455,1,0
100457,1,0
100458,1,0
100459,1,0
100467,1,0
100469,1,0
100472,0,0
100473,0,0
100474,0,0
100475,0,0
100477,1,0
100478,1,0
100479,0,0
100480,0,0
100481,0,0
100482,0,0
100483,1,0
100485,1,0
100486,1,0
100487,1,0
100488,1,0
100489,0,0
100490,0,0
100491,0,0
100492,1,0
100493,0,0
100494,1,0
100495,1,0
100497,0,0
100498,1,0
100499,1,0
100500,0,0
100502,0,0
100503,1,0
100504,0,0
100505,1,0
100549,0,0
100551,0,0
100552,0,0
100550,0,0
100553,0,0
100554,0,0
100556,0,0
100560,0,0
100564,1,0
100566,0,0
100567,0,0
100572,1,0
100574,1,0
100576,1,0
100577,0,0
100578,1,0
100582,1,0
100584,0,0
100585,1,0
100586,0,0
100588,1,0
100589,0,0
100590,0,0
100591,1,0
100593,1,0
100595,1,0
100597,0,0
100598,1,0
100601,1,0
100602,0,0
100604,1,0
100609,1,0
100610,1,0
100612,0,0
100613,1,0
100614,1,0
100615,1,0
100616,0,0
100619,1,0
100620,0,0
100621,1,0
100622,1,0
100623,1,0
100624,0,0
100625,1,0
100627,1,0
100628,1,0
100629,0,0
100631,1,0
100632,0,0
100633,0,0
100634,1,0
100636,0,0
100637,1,0
100638,0,0
100642,1,0
100643,1,0
100654,1,0
100659,1,0
100667,0,0
100668,0,0
100671,0,0
100672,0,0
100673,0,0
100674,0,0
100676,0,0
100677,0,0
100678,1,0
100679,0,0
100680,0,0
100681,1,0
100683,1,0
100684,0,0
100685,0,0
100686,0,0
100687,0,0
100688,0,0
100689,0,0
100690,0,0
100691,1,0
100692,1,0
100693,0,0
100695,1,0
