provider_name,cohort_year,course_identifier,recruitment_target,per_participant,service_fee_installments,special_course,monthly_service_fee
Ambition Institute,2021,npq-leading-teaching,1000,900,12,FALSE,0.0
Ambition Institute,2021,npq-leading-behaviour-culture,1001,901,13,FALSE,0.0
Ambition Institute,2021,npq-leading-teaching-development,1002,902,14,FALSE,0.0
Ambition Institute,2021,npq-senior-leadership,1003,903,15,FALSE,0.0
Ambition Institute,2021,npq-headship,1004,904,16,FALSE,0.0
Ambition Institute,2021,npq-executive-leadership,1005,905,17,FALSE,0.0
Ambition Institute,2021,npq-leading-literacy,1006,906,18,FALSE,0.0
Ambition Institute,2021,npq-early-years-leadership,1007,907,19,FALSE,0.0
Best Practice Network,2021,npq-leading-teaching,1008,908,20,FALSE,0.0
Best Practice Network,2021,npq-leading-behaviour-culture,1009,909,21,FALSE,0.0
Best Practice Network,2021,npq-leading-teaching-development,1010,910,22,FALSE,0.0
Best Practice Network,2021,npq-senior-leadership,1011,911,23,FALSE,0.0
Best Practice Network,2021,npq-headship,1012,912,24,FALSE,0.0
Best Practice Network,2021,npq-executive-leadership,1013,913,25,FALSE,0.0
Church of England,2021,npq-leading-teaching,1014,914,26,FALSE,0.0
Church of England,2021,npq-leading-behaviour-culture,1015,915,27,FALSE,0.0
Church of England,2021,npq-leading-teaching-development,1016,916,28,FALSE,0.0
Church of England,2021,npq-senior-leadership,1017,917,29,FALSE,0.0
Church of England,2021,npq-headship,1018,918,30,FALSE,0.0
Church of England,2021,npq-executive-leadership,1019,919,31,FALSE,0.0
Education Development Trust,2021,npq-leading-teaching,1020,920,32,FALSE,0.0
Education Development Trust,2021,npq-leading-behaviour-culture,1021,921,33,FALSE,0.0
Education Development Trust,2021,npq-leading-teaching-development,1022,922,34,FALSE,0.0
Education Development Trust,2021,npq-senior-leadership,1023,923,35,FALSE,0.0
Education Development Trust,2021,npq-headship,1024,924,36,FALSE,0.0
Education Development Trust,2021,npq-executive-leadership,1025,925,37,FALSE,0.0
Education Development Trust,2021,npq-leading-literacy,1026,926,38,FALSE,0.0
Education Development Trust,2021,npq-early-years-leadership,1027,927,39,FALSE,0.0
School-Led Network,2021,npq-leading-teaching,1028,928,40,FALSE,0.0
School-Led Network,2021,npq-leading-behaviour-culture,1029,929,41,FALSE,0.0
School-Led Network,2021,npq-leading-teaching-development,1030,930,42,FALSE,0.0
School-Led Network,2021,npq-senior-leadership,1031,931,43,FALSE,0.0
School-Led Network,2021,npq-headship,1032,932,44,FALSE,0.0
School-Led Network,2021,npq-executive-leadership,1033,933,45,FALSE,0.0
School-Led Network,2021,npq-leading-literacy,1034,934,46,FALSE,0.0
School-Led Network,2021,npq-early-years-leadership,1035,935,47,FALSE,0.0
LLSE,2021,npq-leading-teaching,1036,936,48,FALSE,0.0
LLSE,2021,npq-leading-behaviour-culture,1037,937,49,FALSE,0.0
LLSE,2021,npq-leading-teaching-development,1038,938,50,FALSE,0.0
LLSE,2021,npq-senior-leadership,1039,939,51,FALSE,0.0
LLSE,2021,npq-headship,1040,940,52,FALSE,0.0
LLSE,2021,npq-executive-leadership,1041,941,53,FALSE,0.0
LLSE,2021,npq-leading-literacy,1042,942,54,FALSE,0.0
LLSE,2021,npq-early-years-leadership,1043,943,55,FALSE,0.0
Teach First,2021,npq-leading-teaching,1044,944,56,FALSE,0.0
Teach First,2021,npq-leading-behaviour-culture,1045,945,57,FALSE,0.0
Teach First,2021,npq-leading-teaching-development,1046,946,58,FALSE,0.0
Teach First,2021,npq-senior-leadership,1047,947,59,FALSE,0.0
Teach First,2021,npq-headship,1048,948,60,FALSE,0.0
Teach First,2021,npq-executive-leadership,1049,949,61,FALSE,0.0
Teach First,2021,npq-leading-literacy,1050,950,62,FALSE,0.0
Teach First,2021,npq-early-years-leadership,1051,951,63,FALSE,0.0
Teacher Development Trust,2021,npq-leading-teaching,1052,952,64,FALSE,0.0
Teacher Development Trust,2021,npq-leading-behaviour-culture,1053,953,65,FALSE,0.0
Teacher Development Trust,2021,npq-leading-teaching-development,1054,954,66,FALSE,0.0
Teacher Development Trust,2021,npq-senior-leadership,1055,955,67,FALSE,0.0
Teacher Development Trust,2021,npq-headship,1056,956,68,FALSE,0.0
Teacher Development Trust,2021,npq-executive-leadership,1057,957,69,FALSE,0.0
Teacher Development Trust,2021,npq-leading-literacy,1058,958,70,FALSE,0.0
Teacher Development Trust,2021,npq-early-years-leadership,1059,959,71,FALSE,0.0
UCL Institute of Education,2021,npq-leading-teaching,1060,960,72,FALSE,0.0
UCL Institute of Education,2021,npq-leading-behaviour-culture,1061,961,73,FALSE,0.0
UCL Institute of Education,2021,npq-leading-teaching-development,1062,962,74,FALSE,0.0
UCL Institute of Education,2021,npq-senior-leadership,1063,963,75,FALSE,0.0
UCL Institute of Education,2021,npq-headship,1064,964,76,FALSE,0.0
UCL Institute of Education,2021,npq-executive-leadership,1065,965,77,FALSE,0.0
UCL Institute of Education,2021,npq-leading-literacy,1066,966,78,FALSE,0.0
UCL Institute of Education,2021,npq-early-years-leadership,1067,967,79,FALSE,0.0
Ambition Institute,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
Best Practice Network,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
Church of England,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
Education Development Trust,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
School-Led Network,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
LLSE,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
Teach First,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
Teacher Development Trust,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
UCL Institute of Education,2021,npq-early-headship-coaching-offer,300,800,0,FALSE,0.0
