provider_name,cohort_year,course_name,recruitment_target,per_participant,service_fee_installments
Ambition Institute,2022,NPQ Leading Teaching ,1000,100,12
Ambition Institute,2022,NPQ Leading Behaviour and Culture,1001,101,13
Ambition Institute,2022,NPQ Leading Teacher Development,1002,102,14
Ambition Institute,2022,NPQ for Senior Leadership,1003,103,15
Ambition Institute,2022,NPQ for Headship,1004,104,16
Ambition Institute,2022,NPQ for Executive Leadership,1005,105,17
Ambition Institute,2022,NPQ Leading Literacy,1006,106,18
Ambition Institute,2022,NPQ Early Years Leadership,1007,107,19
Best Practice Network,2022,NPQ Leading Teaching ,1008,108,20
Best Practice Network,2022,NPQ Leading Behaviour and Culture,1009,109,21
Best Practice Network,2022,NPQ Leading Teacher Development,1010,110,22
Best Practice Network,2022,NPQ for Senior Leadership,1011,111,23
Best Practice Network,2022,NPQ for Headship,1012,112,24
Best Practice Network,2022,NPQ for Executive Leadership,1013,113,25
Church of England,2022,NPQ Leading Teaching ,1014,114,26
Church of England,2022,NPQ Leading Behaviour and Culture,1015,115,27
Church of England,2022,NPQ Leading Teacher Development,1016,116,28
Church of England,2022,NPQ for Senior Leadership,1017,117,29
Church of England,2022,NPQ for Headship,1018,118,30
Church of England,2022,NPQ for Executive Leadership,1019,119,31
Education Development Trust,2022,NPQ Leading Teaching ,1020,120,32
Education Development Trust,2022,NPQ Leading Behaviour and Culture,1021,121,33
Education Development Trust,2022,NPQ Leading Teacher Development,1022,122,34
Education Development Trust,2022,NPQ for Senior Leadership,1023,123,35
Education Development Trust,2022,NPQ for Headship,1024,124,36
Education Development Trust,2022,NPQ for Executive Leadership,1025,125,37
Education Development Trust,2022,NPQ Leading Literacy,1026,126,38
Education Development Trust,2022,NPQ Early Years Leadership,1027,127,39
School-Led Network,2022,NPQ Leading Teaching ,1028,128,40
School-Led Network,2022,NPQ Leading Behaviour and Culture,1029,129,41
School-Led Network,2022,NPQ Leading Teacher Development,1030,130,42
School-Led Network,2022,NPQ for Senior Leadership,1031,131,43
School-Led Network,2022,NPQ for Headship,1032,132,44
School-Led Network,2022,NPQ for Executive Leadership,1033,133,45
School-Led Network,2022,NPQ Leading Literacy,1034,134,46
School-Led Network,2022,NPQ Early Years Leadership,1035,135,47
Leadership Learning South East,2022,NPQ Leading Teaching ,1036,136,48
Leadership Learning South East,2022,NPQ Leading Behaviour and Culture,1037,137,49
Leadership Learning South East,2022,NPQ Leading Teacher Development,1038,138,50
Leadership Learning South East,2022,NPQ for Senior Leadership,1039,139,51
Leadership Learning South East,2022,NPQ for Headship,1040,140,52
Leadership Learning South East,2022,NPQ for Executive Leadership,1041,141,53
Leadership Learning South East,2022,NPQ Leading Literacy,1042,142,54
Leadership Learning South East,2022,NPQ Early Years Leadership,1043,143,55
Teach First,2022,NPQ Leading Teaching ,1044,144,56
Teach First,2022,NPQ Leading Behaviour and Culture,1045,145,57
Teach First,2022,NPQ Leading Teacher Development,1046,146,58
Teach First,2022,NPQ for Senior Leadership,1047,147,59
Teach First,2022,NPQ for Headship,1048,148,60
Teach First,2022,NPQ for Executive Leadership,1049,149,61
Teach First,2022,NPQ Leading Literacy,1050,150,62
Teach First,2022,NPQ Early Years Leadership,1051,151,63
Teacher Development Trust,2022,NPQ Leading Teaching ,1052,152,64
Teacher Development Trust,2022,NPQ Leading Behaviour and Culture,1053,153,65
Teacher Development Trust,2022,NPQ Leading Teacher Development,1054,154,66
Teacher Development Trust,2022,NPQ for Senior Leadership,1055,155,67
Teacher Development Trust,2022,NPQ for Headship,1056,156,68
Teacher Development Trust,2022,NPQ for Executive Leadership,1057,157,69
Teacher Development Trust,2022,NPQ Leading Literacy,1058,158,70
Teacher Development Trust,2022,NPQ Early Years Leadership,1059,159,71
UCL Institute of Education,2022,NPQ Leading Teaching ,1060,160,72
UCL Institute of Education,2022,NPQ Leading Behaviour and Culture,1061,161,73
UCL Institute of Education,2022,NPQ Leading Teacher Development,1062,162,74
UCL Institute of Education,2022,NPQ for Senior Leadership,1063,163,75
UCL Institute of Education,2022,NPQ for Headship,1064,164,76
UCL Institute of Education,2022,NPQ for Executive Leadership,1065,165,77
UCL Institute of Education,2022,NPQ Leading Literacy,1066,166,78
UCL Institute of Education,2022,NPQ Early Years Leadership,1067,167,79
Ambition Institute,2022,The Early Headship Coaching Offer,1068,168,0
Best Practice Network,2022,The Early Headship Coaching Offer,1069,169,0
Church of England,2022,The Early Headship Coaching Offer,1070,170,0
Education Development Trust,2022,The Early Headship Coaching Offer,1071,171,0
School-Led Network,2022,The Early Headship Coaching Offer,1072,172,0
Leadership Learning South East,2022,The Early Headship Coaching Offer,1073,173,0
Teach First,2022,The Early Headship Coaching Offer,1074,174,0
Teacher Development Trust,2022,The Early Headship Coaching Offer,1075,175,0
UCL Institute of Education,2022,The Early Headship Coaching Offer,1076,176,0
National Institute of Teaching,2022,NPQ Leading Teaching,100,800,24
National Institute of Teaching,2022,NPQ Leading Behaviour and Culture,101,801,24
National Institute of Teaching,2022,NPQ Leading Teacher Development,102,802,24
National Institute of Teaching,2022,NPQ for Senior Leadership,103,803,24
National Institute of Teaching,2022,NPQ for Headship,104,804,24
National Institute of Teaching,2022,NPQ for Executive Leadership,105,805,24
National Institute of Teaching,2022,NPQ Leading Literacy,106,806,24
National Institute of Teaching,2022,NPQ Early Years Leadership,107,807,24
National Institute of Teaching,2022,The Early Headship Coaching Offer,1000,800,0
