provider_name,cohort_year,course_identifier,recruitment_target,per_participant,service_fee_installments,special_course,monthly_service_fee
Ambition Institute,2024,npq-leading-teaching,1000,100,12,FALSE,0.0
Ambition Institute,2024,npq-leading-behaviour-culture,1001,101,13,FALSE,0.0
Ambition Institute,2024,npq-leading-teaching-development,1002,102,14,FALSE,0.0
Ambition Institute,2024,npq-senior-leadership,1003,103,15,FALSE,0.0
Ambition Institute,2024,npq-headship,1004,104,16,FALSE,0.0
Ambition Institute,2024,npq-executive-leadership,1005,105,17,FALSE,0.0
Ambition Institute,2024,npq-leading-literacy,1006,106,18,FALSE,0.0
Ambition Institute,2024,npq-early-years-leadership,1007,107,19,FALSE,0.0
Ambition Institute,2024,npq-senco,450,902,19,FALSE,0,0.0
Best Practice Network,2024,npq-leading-teaching,1008,108,20,FALSE,0.0
Best Practice Network,2024,npq-leading-behaviour-culture,1009,109,21,FALSE,0.0
Best Practice Network,2024,npq-leading-teaching-development,1010,110,22,FALSE,0.0
Best Practice Network,2024,npq-senior-leadership,1011,111,23,FALSE,0.0
Best Practice Network,2024,npq-headship,1012,112,24,FALSE,0.0
Best Practice Network,2024,npq-executive-leadership,1013,113,25,FALSE,0.0
Best Practice Network,2024,npq-senco,283,890,19,FALSE,0,0.0
Church of England,2024,npq-leading-teaching,1014,114,26,FALSE,0.0
Church of England,2024,npq-leading-behaviour-culture,1015,115,27,FALSE,0.0
Church of England,2024,npq-leading-teaching-development,1016,116,28,FALSE,0.0
Church of England,2024,npq-senior-leadership,1017,117,29,FALSE,0.0
Church of England,2024,npq-headship,1018,118,30,FALSE,0.0
Church of England,2024,npq-executive-leadership,1019,119,31,FALSE,0.0
Church of England,2024,npq-senco,200,901,19,FALSE,0,0.0
Education Development Trust,2024,npq-leading-teaching,1020,120,32,FALSE,0.0
Education Development Trust,2024,npq-leading-behaviour-culture,1021,121,33,FALSE,0.0
Education Development Trust,2024,npq-leading-teaching-development,1022,122,34,FALSE,0.0
Education Development Trust,2024,npq-senior-leadership,1023,123,35,FALSE,0.0
Education Development Trust,2024,npq-headship,1024,124,36,FALSE,0.0
Education Development Trust,2024,npq-executive-leadership,1025,125,37,FALSE,0.0
Education Development Trust,2024,npq-leading-literacy,1026,126,38,FALSE,0.0
Education Development Trust,2024,npq-early-years-leadership,1027,127,39,FALSE,0.0
School-Led Network,2024,npq-leading-teaching,1028,128,40,FALSE,0.0
School-Led Network,2024,npq-leading-behaviour-culture,1029,129,41,FALSE,0.0
School-Led Network,2024,npq-leading-teaching-development,1030,130,42,FALSE,0.0
School-Led Network,2024,npq-senior-leadership,1031,131,43,FALSE,0.0
School-Led Network,2024,npq-headship,1032,132,44,FALSE,0.0
School-Led Network,2024,npq-executive-leadership,1033,133,45,FALSE,0.0
School-Led Network,2024,npq-leading-literacy,1034,134,46,FALSE,0.0
School-Led Network,2024,npq-early-years-leadership,1035,135,47,FALSE,0.0
LLSE,2024,npq-leading-teaching,1036,136,48,FALSE,0.0
LLSE,2024,npq-leading-behaviour-culture,1037,137,49,FALSE,0.0
LLSE,2024,npq-leading-teaching-development,1038,138,50,FALSE,0.0
LLSE,2024,npq-senior-leadership,1039,139,51,FALSE,0.0
LLSE,2024,npq-headship,1040,140,52,FALSE,0.0
LLSE,2024,npq-executive-leadership,1041,141,53,FALSE,0.0
LLSE,2024,npq-leading-literacy,1042,142,54,FALSE,0.0
LLSE,2024,npq-early-years-leadership,1043,143,55,FALSE,0.0
Teach First,2024,npq-leading-teaching,1044,144,56,FALSE,0.0
Teach First,2024,npq-leading-behaviour-culture,1045,145,57,FALSE,0.0
Teach First,2024,npq-leading-teaching-development,1046,146,58,FALSE,0.0
Teach First,2024,npq-senior-leadership,1047,147,59,FALSE,0.0
Teach First,2024,npq-headship,1048,148,60,FALSE,0.0
Teach First,2024,npq-executive-leadership,1049,149,61,FALSE,0.0
Teach First,2024,npq-leading-literacy,1050,150,62,FALSE,0.0
Teach First,2024,npq-early-years-leadership,1051,151,63,FALSE,0.0
Teach First,2024,npq-senco,156,895,19,FALSE,0,0.0
Teacher Development Trust,2024,npq-leading-teaching,1052,152,64,FALSE,0.0
Teacher Development Trust,2024,npq-leading-behaviour-culture,1053,153,65,FALSE,0.0
Teacher Development Trust,2024,npq-leading-teaching-development,1054,154,66,FALSE,0.0
Teacher Development Trust,2024,npq-senior-leadership,1055,155,67,FALSE,0.0
Teacher Development Trust,2024,npq-headship,1056,156,68,FALSE,0.0
Teacher Development Trust,2024,npq-executive-leadership,1057,157,69,FALSE,0.0
Teacher Development Trust,2024,npq-leading-literacy,1058,158,70,FALSE,0.0
Teacher Development Trust,2024,npq-early-years-leadership,1059,159,71,FALSE,0.0
UCL Institute of Education,2024,npq-leading-teaching,1060,160,72,FALSE,0.0
UCL Institute of Education,2024,npq-leading-behaviour-culture,1061,161,73,FALSE,0.0
UCL Institute of Education,2024,npq-leading-teaching-development,1062,162,74,FALSE,0.0
UCL Institute of Education,2024,npq-senior-leadership,1063,163,75,FALSE,0.0
UCL Institute of Education,2024,npq-headship,1064,164,76,FALSE,0.0
UCL Institute of Education,2024,npq-executive-leadership,1065,165,77,FALSE,0.0
UCL Institute of Education,2024,npq-leading-literacy,1066,166,78,FALSE,0.0
UCL Institute of Education,2024,npq-early-years-leadership,1067,167,79,FALSE,0.0
UCL Institute of Education,2024,npq-senco,125,902,19,FALSE,0,0.0
