schedule-identifier,schedule-name,schedule-cohort-year,milestone-name,milestone-declaration-type,milestone-start-date,milestone-date,milestone-payment-date
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 1 - Participant Start,started,01/11/2021,,01/11/2021
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 2 - Retention Point 1,retained-1,01/11/2021,,01/11/2021
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 3 - Retention Point 2,retained-2,01/11/2021,,01/11/2021
npq-leadership-autumn,NPQ Leadership Autumn,2021,Output 4 - Participant Completion,completed,01/11/2021,,01/11/2021
,,,,,,
npq-leadership-spring,NPQ Leadership Spring,2021,Output 1 - Participant Start,started,01/01/2022,,01/01/2022
npq-leadership-spring,NPQ Leadership Spring,2021,Output 2 - Retention Point 1,retained-1,01/01/2022,,01/01/2022
npq-leadership-spring,NPQ Leadership Spring,2021,Output 3 - Retention Point 2,retained-2,01/01/2022,,01/01/2022
npq-leadership-spring,NPQ Leadership Spring,2021,Output 4 - Participant Completion,completed,01/01/2022,,01/01/2022
,,,,,,
npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 1 - Participant Start,started,01/11/2022,,01/11/2022
npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 2 - Retention Point 1,retained-1,01/11/2022,,01/11/2022
npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 3 - Retention Point 2,retained-2,01/11/2022,,01/11/2022
npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 4 - Participant Completion,completed,01/11/2022,,01/11/2022
,,,,,,
npq-leadership-spring,NPQ Leadership Spring,2022,Output 1 - Participant Start,started,01/01/2023,,01/01/2023
npq-leadership-spring,NPQ Leadership Spring,2022,Output 2 - Retention Point 1,retained-1,01/01/2023,,01/01/2023
npq-leadership-spring,NPQ Leadership Spring,2022,Output 3 - Retention Point 2,retained-2,01/01/2023,,01/01/2023
npq-leadership-spring,NPQ Leadership Spring,2022,Output 4 - Participant Completion,completed,01/01/2023,,01/01/2023
,,,,,,
npq-leadership-autumn,NPQ Leadership Autumn,2023,Output 1 - Participant Start,started,01/11/2023,,01/11/2023
npq-leadership-autumn,NPQ Leadership Autumn,2023,Output 2 - Retention Point 1,retained-1,01/11/2023,,01/11/2023
npq-leadership-autumn,NPQ Leadership Autumn,2023,Output 3 - Retention Point 2,retained-2,01/11/2023,,01/11/2023
npq-leadership-autumn,NPQ Leadership Autumn,2023,Output 4 - Participant Completion,completed,01/11/2023,,01/11/2023
,,,,,,
npq-leadership-spring,NPQ Leadership Spring,2023,Output 1 - Participant Start,started,01/01/2024,,01/01/2024
npq-leadership-spring,NPQ Leadership Spring,2023,Output 2 - Retention Point 1,retained-1,01/01/2024,,01/01/2024
npq-leadership-spring,NPQ Leadership Spring,2023,Output 3 - Retention Point 2,retained-2,01/01/2024,,01/01/2024
npq-leadership-spring,NPQ Leadership Spring,2023,Output 4 - Participant Completion,completed,01/01/2024,,01/01/2024
