type,schedule-identifier,schedule-name,schedule-cohort-year,milestone-name,milestone-declaration-type,milestone-start-date,milestone-date,milestone-payment-date
npq_ehco,npq-ehco-june,NPQ EHCO June,2023,Output 1 - Participant Start,started,2024-06-01,,2024-06-01
npq_ehco,npq-ehco-june,NPQ EHCO June,2023,Output 2 - Retention Point 1,retained-1,2024-06-01,,2024-06-01
npq_ehco,npq-ehco-june,NPQ EHCO June,2023,Output 3 - Retention Point 2,retained-2,2024-06-01,,2024-06-01
npq_ehco,npq-ehco-june,NPQ EHCO June,2023,Output 4 - Participant Completion,completed,2024-06-01,,2024-06-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 1 - Participant Start,started,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 2 - Retention Point 1,retained-1,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 3 - Retention Point 2,retained-2,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 4 - Retention Point 3,retained-3,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 5 - Retention Point 4,retained-4,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 6 - Participant Completion,completed,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 7 - Extended Point 1,extended-1,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 8 - Extended Point 2,extended-2,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2023,Output 9 - Extended Point 3,extended-3,2023-09-01,,2023-09-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 1 - Participant Start,started,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 2 - Retention Point 1,retained-1,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 3 - Retention Point 2,retained-2,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 4 - Retention Point 3,retained-3,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 5 - Retention Point 4,retained-4,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 6 - Participant Completion,completed,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 7 - Extended Point 1,extended-1,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 8 - Extended Point 2,extended-2,2024-01-01,,2024-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2023,Output 9 - Extended Point 3,extended-3,2024-01-01,,2024-01-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2021,Output 1 - Participant Start,started,2022-04-01,,2022-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2021,Output 2 - Retention Point 1,retained-1,2022-04-01,,2022-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2021,Output 3 - Retention Point 2,retained-2,2022-04-01,,2022-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2021,Output 4 - Retention Point 3,retained-3,2022-04-01,,2022-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2021,Output 5 - Retention Point 4,retained-4,2022-04-01,,2022-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2021,Output 6 - Participant Completion,completed,2022-04-01,,2022-04-01
ecf_reduced,ecf-reduced-september,ECF Reduced September,2022,Output 1 - Participant Start,started,2022-09-01,,2022-09-01
ecf_reduced,ecf-reduced-september,ECF Reduced September,2022,Output 2 - Retention Point 1,retained-1,2022-09-01,,2022-09-01
ecf_reduced,ecf-reduced-september,ECF Reduced September,2022,Output 3 - Retention Point 2,retained-2,2022-09-01,,2022-09-01
ecf_reduced,ecf-reduced-september,ECF Reduced September,2022,Output 4 - Retention Point 3,retained-3,2022-09-01,,2022-09-01
ecf_reduced,ecf-reduced-september,ECF Reduced September,2022,Output 5 - Retention Point 4,retained-4,2022-09-01,,2022-09-01
ecf_reduced,ecf-reduced-september,ECF Reduced September,2022,Output 6 - Participant Completion,completed,2022-09-01,,2022-09-01
ecf_reduced,ecf-reduced-january,ECF Reduced January,2022,Output 1 - Participant Start,started,2023-01-01,,2023-01-01
ecf_reduced,ecf-reduced-january,ECF Reduced January,2022,Output 2 - Retention Point 1,retained-1,2023-01-01,,2023-01-01
ecf_reduced,ecf-reduced-january,ECF Reduced January,2022,Output 3 - Retention Point 2,retained-2,2023-01-01,,2023-01-01
ecf_reduced,ecf-reduced-january,ECF Reduced January,2022,Output 4 - Retention Point 3,retained-3,2023-01-01,,2023-01-01
ecf_reduced,ecf-reduced-january,ECF Reduced January,2022,Output 5 - Retention Point 4,retained-4,2023-01-01,,2023-01-01
ecf_reduced,ecf-reduced-january,ECF Reduced January,2022,Output 6 - Participant Completion,completed,2023-01-01,,2023-01-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2022,Output 1 - Participant Start,started,2023-04-01,,2023-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2022,Output 2 - Retention Point 1,retained-1,2023-04-01,,2023-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2022,Output 3 - Retention Point 2,retained-2,2023-04-01,,2023-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2022,Output 4 - Retention Point 3,retained-3,2023-04-01,,2023-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2022,Output 5 - Retention Point 4,retained-4,2023-04-01,,2023-04-01
ecf_reduced,ecf-reduced-april,ECF Reduced April,2022,Output 6 - Participant Completion,completed,2023-04-01,,2023-04-01
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2022,Output 1 - Participant Start,started,2022-10-01,,2022-11-01
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2022,Output 2 - Retention Point 1,retained-1,2022-10-01,,2022-11-01
npq_specialist,npq-specialist-autumn,NPQ Specialist Autumn,2022,Output 3 - Participant Completion,completed,2022-10-01,,2022-11-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 1 - Participant Start,started,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 2 - Retention Point 1,retained-1,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 3 - Retention Point 2,retained-2,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 4 - Retention Point 3,retained-3,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 5 - Retention Point 4,retained-4,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 6 - Participant Completion,completed,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 7 - Extended Point 1,extended-1,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 8 - Extended Point 2,extended-2,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 9 - Extended Point 3,extended-3,2022-09-01,,2022-09-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 1 - Participant Start,started,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 2 - Retention Point 1,retained-1,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 3 - Retention Point 2,retained-2,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 4 - Retention Point 3,retained-3,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 5 - Retention Point 4,retained-4,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 6 - Participant Completion,completed,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 7 - Extended Point 1,extended-1,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 8 - Extended Point 2,extended-2,2023-01-01,,2023-01-01
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 9 - Extended Point 3,extended-3,2023-01-01,,2023-01-01
npq_leadership,npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 1 - Participant Start,started,2022-10-01,,2022-11-01
npq_leadership,npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 2 - Retention Point 1,retained-1,2022-10-01,,2022-11-01
npq_leadership,npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 3 - Retention Point 2,retained-2,2022-10-01,,2022-11-01
npq_leadership,npq-leadership-autumn,NPQ Leadership Autumn,2022,Output 4 - Participant Completion,completed,2022-10-01,,2022-11-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 1 - Participant Start,started,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 2 - Retention Point 1,retained-1,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 3 - Retention Point 2,retained-2,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 4 - Retention Point 3,retained-3,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 5 - Retention Point 4,retained-4,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 6 - Participant Completion,completed,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 7 - Extended Point 1,extended-1,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 8 - Extended Point 2,extended-2,2023-04-01,,2023-04-01
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 9 - Extended Point 3,extended-3,2023-04-01,,2023-04-01
ecf_replacement,ecf-replacement-september,ECF Replacement September,2022,Output 1 - Participant Start,started,2022-09-01,,2022-09-01
ecf_replacement,ecf-replacement-september,ECF Replacement September,2022,Output 2 - Retention Point 1,retained-1,2022-09-01,,2022-09-01
ecf_replacement,ecf-replacement-september,ECF Replacement September,2022,Output 3 - Retention Point 2,retained-2,2022-09-01,,2022-09-01
ecf_replacement,ecf-replacement-september,ECF Replacement September,2022,Output 4 - Retention Point 3,retained-3,2022-09-01,,2022-09-01
ecf_replacement,ecf-replacement-september,ECF Replacement September,2022,Output 5 - Retention Point 4,retained-4,2022-09-01,,2022-09-01
ecf_replacement,ecf-replacement-september,ECF Replacement September,2022,Output 6 - Participant Completion,completed,2022-09-01,,2022-09-01
ecf_replacement,ecf-replacement-january,ECF Replacement January,2022,Output 1 - Participant Start,started,2023-01-01,,2023-01-01
ecf_replacement,ecf-replacement-january,ECF Replacement January,2022,Output 2 - Retention Point 1,retained-1,2023-01-01,,2023-01-01
ecf_replacement,ecf-replacement-january,ECF Replacement January,2022,Output 3 - Retention Point 2,retained-2,2023-01-01,,2023-01-01
ecf_replacement,ecf-replacement-january,ECF Replacement January,2022,Output 4 - Retention Point 3,retained-3,2023-01-01,,2023-01-01
ecf_replacement,ecf-replacement-january,ECF Replacement January,2022,Output 5 - Retention Point 4,retained-4,2023-01-01,,2023-01-01
ecf_replacement,ecf-replacement-january,ECF Replacement January,2022,Output 6 - Participant Completion,completed,2023-01-01,,2023-01-01
ecf_standard,ecf-standard-january,ECF Standard January,2022,Output 1 - Participant Start,started,2023-01-01,2023-03-31,2023-04-30
