id,urn,name,school_type_code,address_line1,address_line2,address_line3,postcode,network_id,domains,school_type_name,ukprn,school_phase_type,school_phase_name,school_website,school_status_code,school_status_name,secondary_contact_email,primary_contact_email,administrative_district_code,administrative_district_name,slug,section_41_approved
1751bf43-5ebe-457d-a7e7-1ca2df398f0e,10000,ZZ Test School 6,1,200 Kerluke Court,Staffordshire,,TY84 2BB,,[],,,,,http://raynor.org/jay,1,,natividad@howell.info,bryce.damore@white.org,,,miscarriage_midnight,false
1b6bcb31-fca7-400e-9392-008047952056,10001,ZZ Test School 15,1,1624 Kareem Dam,Fife,,MB6M 7AN,,[],,,,,http://howell-raynor.org/kurtis,1,,marilu_tromp@schuppe.org,sirena.cormier@reilly-mohr.com,,,rung-polish,false
1d1caed5-6c35-4346-8484-479d3185b406,10002,Rosenbaum-Streich,,71932 Jazmine Light,County Tyrone,,Z8 3LG,,[],,,,,http://hegmann-fadel.co/duane,,,latoria@ankunding-hartmann.com,ruby_cummings@mohr-weimann.biz,,,highway_strict,false
2690a928-e136-46d8-8169-2ea6cfe0d917,10003,Lynch-Buckridge,,185 Rich Mountain,North Yorkshire,,Y8J 0UB,,[],,,,,http://quigley-harber.biz/horace,,,harris@turner.info,reagan@dibbert.name,,,wear-deport,false
344d59e6-8533-42ae-9480-88e6d0ef1796,10004,ZZ Test School 204,1,96165 Lakisha Islands,Devon,,C0 3JP,,[],,,,,http://harris-jaskolski.org/tim_beahan,1,,sol@lindgren.name,julianne@vandervort.name,,,smile_angel,false
36df5f7d-68db-4636-8f56-62b5f7334077,10005,ZZ Test School 4,1,86996 Rowe Canyon,County Tyrone,,U1U 2JB,,[],,,,,http://welch.info/dorethea,1,,kurtis.collins@ebert.net,eduardo_prohaska@satterfield-reilly.info,,,confuse_curriculum,false
3e836ad0-9ca8-452b-8181-910480762504,10006,Anderson-Langosh,,5665 Kohler Bridge,East Sussex,,Y2P 9AJ,,[],,,,,http://hartmann.co/dick,,,lucien_huel@hoppe.name,harrison_kunze@berge-marvin.co,,,freckle-smile,false
43554d4c-0d88-4053-945e-d632c4bde54c,10007,ZZ Test School 7,1,49362 Elwood Underpass,Lancashire,,YQ9N 2NP,,[],,,,,http://lockman.biz/hung,1,,marti@stroman.net,brant_murazik@osinski.net,,,highway_trivial,false
4748b918-88e0-4ac6-b5f6-9633a45b442c,10008,ZZ TEST CIP only school 2,10,82477 Humberto Fort,Strathclyde,,UC4M 8AJ,,[],,,,,http://fritsch.org/eugenio,1,,erich_flatley@blanda.co,cathrine.mcclure@champlin-fisher.biz,,,linger_perception,false
4bbd665a-4198-483e-8b0e-4795c4acdc0d,10009,ZZ Test School 9,1,14900 Jackie Land,Buckinghamshire,,W1 9NF,,[],,,,,http://wehner.biz/reita.mcclure,1,,williams@powlowski.com,kathaleen_huel@collier.com,,,galaxy-figure,false
4bfedb89-1484-4b76-8c03-d1d211460039,10010,ZZ Test School 13,1,409 Rippin Rapids,Dorset,,EN6 1EL,,[],,,,,http://batz-fadel.name/tomiko,1,,aron@keebler-schumm.biz,madonna.altenwerth@heaney.io,,,wear-highway,false
55823b16-8286-46b4-81fa-09a4dbf78ca2,10011,ZZ Test School 202,1,52803 Geoffrey Plain,Mid Glamorgan,,R52 4AH,,[],,,,,http://pollich-anderson.io/neville_batz,1,,brooks_runolfsson@reilly.com,terry_labadie@larson.net,,,shock-midnight,false
55d653b2-ca02-4da6-a29a-ebe04f456be1,10012,"Koelpin, Stamm and Schowalter",,8913 Weimann Fords,Lincolnshire,,Y9 3LQ,,[],,,,,http://little-bernier.info/antione,,,aubrey_schultz@gusikowski-goldner.info,caroll@quigley.biz,,,defend-publish,false
59713423-6927-4c43-8dcb-aed6570790ca,10013,Balistreri-Johnston,,190 Ritchie Prairie,Tyne and Wear,,GS9 7AR,,[],,,,,http://waelchi-rath.info/dan,,,roslyn_keeling@jacobi-mitchell.io,lonnie_collier@moen.net,,,twilight_midnight,false
5b014cba-5124-4089-87cb-6afa5f0bc3bd,10014,ZZ Test School 12,1,53698 Brenton Viaduct,Northamptonshire,,Z2 7UA,,[],,,,,http://kuhlman.biz/yong.hand,1,,jere@goyette.net,leanna_fisher@armstrong.info,,,stuff-minister,false
5dbbb892-47ca-41dc-87d7-b99854c581cd,10015,Effertz-Leuschke,,8150 Lesley Crossing,Borders,,Y8H 9NH,,[],,,,,http://harber.biz/zachary.grimes,,,lynwood@jacobi.org,juliana_schowalter@kilback-miller.org,,,marine_exhibition,false
64b4ad24-bc54-483c-92e3-a21d84a75b67,10016,Haag-Prohaska,,96065 Langworth Parkways,Clwyd,,T3E 0JR,,[],,,,,http://jenkins.io/sherrell,,,harris.trantow@mcclure.org,wilson_terry@hermiston.info,,,trivial-seller,false
670207d1-2baa-4d21-82c6-d665e60466e6,10017,ZZ Test School 201,1,68446 O'Reilly Flat,Shropshire,,RD8 7DH,,[],,,,,http://dare-mertz.co/cliff,1,,amy@casper-braun.com,austin.oreilly@volkman.net,,,whole-laser,false
6bd24d7c-793c-4c23-bda5-538e5e77a75a,10018,ZZ Test School 5,1,135 Friesen Parkway,Buckinghamshire,,WX4M 0AY,,[],,,,,http://gerhold-schultz.com/ronny.muller,1,,tandra_romaguera@sawayn.co,corrie@boyle.biz,,,relationship-transfer,false
748a6043-664c-4e1a-a522-46ca23f953dc,10019,Example school two,1,3858 Barry Fort,Hampshire,,SB5 5PA,,[],,,,,http://hagenes-boyer.name/marnie_lind,1,,jami_willms@boehm.net,sebastian@graham.co,,,seller-relationship,false
