original_programme,new_programme,transfer,participant_type,starting_school_status,prior_declarations,new_declarations,duplicate_declarations,prior_school_status,prior_participant_status,prior_training_status,see_original_details,see_original_declarations,original_payment_ects,original_payment_mentors,original_payment_declarations,new_school_status,new_participant_status,new_training_status,see_new_details,see_new_declarations,new_payment_ects,new_payment_mentors,new_payment_declarations
FIP,CIP,,ECT,Eligible to start,,,,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,,,0,0,0
FIP,CIP,,ECT,Eligible to start,started,,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,CIP,,Mentor,Eligible to start,,,,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,,,0,0,0
FIP,CIP,,Mentor,Eligible to start,started,,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,CIP,,ECT,Eligible to start,"started,retained_1",,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,CIP,,Mentor,Eligible to start,"started,retained_1",,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,different_provider,ECT,Eligible to start,,,,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,ALL,,0,0,0
FIP,FIP,different_provider,ECT,Eligible to start,started,,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,ECT,Eligible to start,started,,started,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,ECT,Eligible to start,,started,,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,ALL,started,1,0,1
FIP,FIP,different_provider,Mentor,Eligible to start,,,,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,ALL,,0,0,0
FIP,FIP,different_provider,Mentor,Eligible to start,started,,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,Mentor,Eligible to start,started,,started,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,Mentor,Eligible to start,,started,,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,ALL,started,1,0,1
FIP,FIP,different_provider,ECT,Eligible to start,"started,retained_1",,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,ECT,Eligible to start,"started,retained_1",,"started,retained_1",Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,ECT,Eligible to start,,"started,retained_1",,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,ALL,started,1,0,1
FIP,FIP,different_provider,Mentor,Eligible to start,"started,retained_1",,,Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,Mentor,Eligible to start,"started,retained_1",,"started,retained_1",Eligible to start,active,active,OBFUSCATED,started,1,0,1,Eligible to start,active,active,ALL,started,0,0,0
FIP,FIP,different_provider,Mentor,Eligible to start,,"started,retained_1",,Eligible to start,active,active,OBFUSCATED,,0,0,0,Eligible to start,active,active,ALL,started,1,0,1
FIP,FIP,same_provider,ECT,Eligible to start,,,,Eligible to start,active,active,ALL,,0,0,0,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,ECT,Eligible to start,started,,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,ECT,Eligible to start,started,,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,ECT,Eligible to start,,started,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,Mentor,Eligible to start,,,,Eligible to start,active,active,ALL,,0,0,0,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,Mentor,Eligible to start,started,,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,Mentor,Eligible to start,started,,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,Mentor,Eligible to start,,started,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,ECT,Eligible to start,"started,retained_1",,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,ECT,Eligible to start,"started,retained_1",,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,ECT,Eligible to start,,"started,retained_1",,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,Mentor,Eligible to start,"started,retained_1",,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,Mentor,Eligible to start,"started,retained_1",,,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
FIP,FIP,same_provider,Mentor,Eligible to start,,"started,retained_1",,Eligible to start,active,active,ALL,started,1,0,1,Eligible to start,active,active,,,0,0,0
